Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
812,Custom Zeta Mu Make-A-Wish tee,S,BLUE,1,9,!Undefined,!Undefined,369,V-NECK DT5501-ROYAL,0,0,0,0,11,1,13.75,0,0,0,20140930,120010,
812,Custom Zeta Mu Make-A-Wish tee,XL,BLUE,1,9,!Undefined,!Undefined,369,V-NECK DT5501-ROYAL,0,0,0,0,11,1,13.75,0,0,0,20140930,120010,
813,Custom Zeta Theta Shorely Blue tees,L,BLUE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,20120816,120010,
813,Custom Zeta Theta Shorely Blue tees,L,WHITE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,0,120010,
813,Custom Zeta Theta Shorely Blue tees,M,BLUE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,20120816,120010,
813,Custom Zeta Theta Shorely Blue tees,M,WHITE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,0,120010,
813,Custom Zeta Theta Shorely Blue tees,S,BLUE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,20120816,120010,
813,Custom Zeta Theta Shorely Blue tees,S,WHITE,1,7,!Undefined,!Undefined,330,813,0,0,0,0,13.25,1,22,0,0,0,0,120010,
814,Polka dot pens,,,1,2,!Undefined,!Undefined,260,814,277,0,0,0,0.8,1,1.7,31.28,0,0,20150915,120010,
816,Custom Iota Crest napkins,,,1,7,!Undefined,!Undefined,325,816,0,0,0,0,0.39,1,0.5,0,0,0,20120724,120010,
817,Custom Epsilon Theta tank,M,WHITE,1,7,!Undefined,!Undefined,260,817,0,0,0,0,10.8,1,13.5,0,0,0,20120813,120010,
817,Custom Epsilon Theta tank,S,WHITE,1,7,!Undefined,!Undefined,260,817,0,0,0,0,10.8,1,13.5,0,0,0,20120813,120010,
817A,Custom Epsilon Theta Tank - redo,,,1,5,!Undefined,!Undefined,260,817A,0,0,0,0,5,1,5,0,0,0,20120905,120010,
818,Custom Sigma Zeta tee,L,RED,1,7,!Undefined,!Undefined,282,818,0,0,0,0,12,1,16,0,0,0,20120808,120010,
818,Custom Sigma Zeta tee,M,RED,1,7,!Undefined,!Undefined,282,818,0,0,0,0,12,1,16,0,0,0,20120808,120010,
818,Custom Sigma Zeta tee,S,RED,1,7,!Undefined,!Undefined,282,818,0,0,0,0,12,1,16,0,0,0,20120808,120010,
819,Custom Sigma Zeta,L,BLACK,1,7,!Undefined,!Undefined,260,819,0,0,0,0,10.5,1,13.25,0,0,0,20120824,120010,
819,Custom Sigma Zeta,M,BLACK,1,7,!Undefined,!Undefined,260,819,0,0,0,0,10.5,1,13.25,0,0,0,20120824,120010,
819,Custom Sigma Zeta,S,BLACK,1,7,!Undefined,!Undefined,260,819,0,0,0,0,10.5,1,13.25,0,0,0,20120824,120010,
820,Symphony tee s/s,L,TAN,1,1,2,!Undefined,369,COMFORT COLORS,0,0,0,0,12.25,1,26.5,72,0,0,20150520,120010,
